REF_DATE,VALUE,prop_male
2018,383600,0.5123344585821864
2019,385500,0.5120041753653445
2020,387500,0.5122014537902388
2021,389700,0.512006196746708
2022,391700,0.5121951219512195
2023,393700,0.5122574055158324
2024,395700,0.5120650241300483
2025,397500,0.5120040434672732
2026,399400,0.5120724346076458
2027,401300,0.5121401752190238
2028,403200,0.5122072745391131
2029,405300,0.5121467526028756
2030,407700,0.5120808678500985
2031,410200,0.5121353272860996
2032,413100,0.5120584652862362
2033,416400,0.5120948234155781
2034,420100,0.5121190304775618
2035,424200,0.5121313035204568
2036,428600,0.5121319199057716
2037,433200,0.5121212121212121
2038,438100,0.5122232472324723
2039,442900,0.5120894160583942
2040,447700,0.5120685765847056
2041,452500,0.5120481927710844
2042,457000,0.5120335614926033
2043,459600,0.5122431132487976
2044,462000,0.5120625950880243
2045,464300,0.5122162162162163
2046,466400,0.5120481927710844
2047,468500,0.5121010923109873
2048,470500,0.5121535181236674
2049,472500,0.5121019108280255
2050,474500,0.5122621564482029
2051,476500,0.5122105263157894
2052,478600,0.5122615803814714
2053,480800,0.512205299394951
2054,483100,0.5121495327102804
2055,485500,0.5121951219512195
2056,487900,0.5122402797778235
2057,490400,0.5120753172329103
2058,493100,0.5120114006514658
2059,495800,0.5121506682867558
2060,498700,0.5120821586790173
2061,501600,0.512214657589107
2062,504700,0.5121417197452229
2063,507900,0.5121661721068249
2064,511300,0.512185534591195
2065,514799.99999999994,0.5121046466224131
2066,518400,0.5121194492922242
2067,522200.00000000006,0.5122279992297324
