age_group,sex,year,rate_per_1000,prob,age_min,age_max
0-4,F,1996,34.1,0.0341,0,4
5-9,F,1996,11.62,0.011619999999999998,5,9
10-14,F,1996,8.86,0.00886,10,14
15-19,F,1996,9.29,0.00929,15,19
20-29,F,1996,7.6,0.0076,20,29
30-39,F,1996,7.27,0.0072699999999999996,30,39
40-49,F,1996,7.16,0.0071600000000000006,40,49
50-59,F,1996,7.57,0.00757,50,59
60-69,F,1996,8.16,0.00816,60,69
70+,F,1996,7.86,0.00786,70,Inf
0-4,M,1996,47.75,0.04775,0,4
5-9,M,1996,13.33,0.01333,5,9
10-14,M,1996,7.93,0.00793,10,14
15-19,M,1996,4.91,0.00491,15,19
20-29,M,1996,4.67,0.00467,20,29
30-39,M,1996,4.59,0.0045899999999999995,30,39
40-49,M,1996,4.29,0.00429,40,49
50-59,M,1996,4.54,0.00454,50,59
60-69,M,1996,6.31,0.00631,60,69
70+,M,1996,8.18,0.00818,70,Inf
0-4,F,1997,32.27,0.03227,0,4
5-9,F,1997,11.16,0.01116,5,9
10-14,F,1997,8.25,0.00825,10,14
15-19,F,1997,7.74,0.00774,15,19
20-29,F,1997,6.93,0.0069299999999999995,20,29
30-39,F,1997,6.96,0.00696,30,39
40-49,F,1997,6.79,0.00679,40,49
50-59,F,1997,7.4,0.0074,50,59
60-69,F,1997,7.89,0.00789,60,69
70+,F,1997,7.82,0.00782,70,Inf
0-4,M,1997,46.94,0.046939999999999996,0,4
5-9,M,1997,13.17,0.01317,5,9
10-14,M,1997,7.64,0.00764,10,14
15-19,M,1997,4.4,0.0044,15,19
20-29,M,1997,4.32,0.00432,20,29
30-39,M,1997,4.33,0.00433,30,39
40-49,M,1997,4.05,0.00405,40,49
50-59,M,1997,4.44,0.00444,50,59
60-69,M,1997,6.13,0.00613,60,69
70+,M,1997,7.87,0.00787,70,Inf
0-4,F,1998,33.12,0.03312,0,4
5-9,F,1998,11.65,0.01165,5,9
10-14,F,1998,7.83,0.00783,10,14
15-19,F,1998,7.41,0.00741,15,19
20-29,F,1998,6.64,0.00664,20,29
30-39,F,1998,6.75,0.00675,30,39
40-49,F,1998,6.45,0.00645,40,49
50-59,F,1998,6.91,0.00691,50,59
60-69,F,1998,7.54,0.00754,60,69
70+,F,1998,7.2,0.0072,70,Inf
0-4,M,1998,47.23,0.047229999999999994,0,4
5-9,M,1998,13.9,0.013900000000000001,5,9
10-14,M,1998,7.45,0.00745,10,14
15-19,M,1998,4.02,0.004019999999999999,15,19
20-29,M,1998,4.13,0.00413,20,29
30-39,M,1998,4.35,0.00435,30,39
40-49,M,1998,4.13,0.00413,40,49
50-59,M,1998,4.4,0.0044,50,59
60-69,M,1998,5.63,0.00563,60,69
70+,M,1998,7.16,0.0071600000000000006,70,Inf
0-4,F,1999,31.38,0.03138,0,4
5-9,F,1999,11.07,0.01107,5,9
10-14,F,1999,7.14,0.00714,10,14
15-19,F,1999,6.59,0.0065899999999999995,15,19
20-29,F,1999,6.21,0.00621,20,29
30-39,F,1999,6.23,0.00623,30,39
40-49,F,1999,6,0.006,40,49
50-59,F,1999,6.55,0.006549999999999999,50,59
60-69,F,1999,7.12,0.0071200000000000005,60,69
70+,F,1999,6.94,0.00694,70,Inf
0-4,M,1999,46.7,0.046700000000000005,0,4
5-9,M,1999,13.45,0.01345,5,9
10-14,M,1999,7.01,0.00701,10,14
15-19,M,1999,3.76,0.00376,15,19
20-29,M,1999,3.9,0.0039,20,29
30-39,M,1999,3.99,0.0039900000000000005,30,39
