Sex,Age Group,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017*,2018*
all,All,8.79,9.53,10.23,10.87,11.43,11.86,12.24,12.62,12.98,13.34,13.68,13.97,14.25,14.53,14.76,14.97,15.14,15.29,15.44,15.62,15.7,15.68,15.56
all,0-4,17.56,17.64,17.78,17.6,17.33,16.65,16.28,15.97,15.53,15.16,14.62,13.96,13.44,13.07,12.76,12.47,12.06,11.55,11.25,10.85,10.38,9.86,8.54
all,5-9,18.77,20.59,21.9,23.02,23.66,23.68,23.33,23.21,23.05,23.05,22.8,22.51,22.04,21.58,20.99,20.4,19.78,19.24,18.82,18.48,18.07,17.54,16.73
all,10-14,13.08,14.71,16.4,18.17,20,21.76,23.15,24.12,25.01,25.52,25.79,25.5,25.27,24.98,24.77,24.42,24.26,23.89,23.38,22.85,22.21,21.48,20.75
all,15-19,9.62,10.65,11.62,12.65,13.69,14.78,16.06,17.47,18.88,20.34,21.83,23.39,24.38,25.17,25.38,25.25,24.92,24.74,24.44,24.26,23.71,23.3,22.77
all,20-29,6.88,7.61,8.38,9.1,9.75,10.26,10.84,11.46,12.12,12.84,13.62,14.5,15.47,16.51,17.57,18.68,19.66,20.52,21.21,21.9,22.19,22.09,22.02
all,30-39,6.13,6.71,7.26,7.73,8.17,8.51,8.81,9.13,9.48,9.81,10.19,10.59,11.01,11.48,11.93,12.34,12.71,13.16,13.62,14.17,14.64,15.07,15.56
all,40-49,5.95,6.51,7.04,7.56,8.03,8.45,8.79,9.13,9.46,9.79,10.1,10.41,10.69,10.95,11.22,11.48,11.69,11.92,12.14,12.38,12.59,12.71,12.79
all,50-59,6.07,6.62,7.2,7.72,8.21,8.56,8.9,9.22,9.52,9.83,10.17,10.41,10.62,10.88,11.09,11.35,11.58,11.83,12.06,12.32,12.53,12.7,12.78
all,60-69,7.22,7.8,8.32,8.81,9.27,9.63,9.88,10.13,10.36,10.62,10.75,10.96,11.2,11.41,11.6,11.75,11.97,12.15,12.33,12.53,12.77,12.85,12.82
all,70+,8.06,8.78,9.4,9.99,10.47,10.93,11.24,11.53,11.78,12.03,12.31,12.48,12.69,12.81,12.95,13.09,13.21,13.31,13.43,13.56,13.65,13.72,13.72
F,All,9.23,10.02,10.76,11.43,12.03,12.47,12.85,13.23,13.59,13.94,14.26,14.53,14.78,15.03,15.23,15.42,15.59,15.73,15.87,16.02,16.08,16.04,15.91
F,0-4,13.97,13.99,14.08,13.85,13.68,13.06,12.75,12.43,12.19,11.89,11.49,10.98,10.55,10.25,10.1,9.87,9.52,9.15,8.93,8.61,8.32,7.88,6.84
